state,action,color,quality
"[[], [0, 1, 0, 0, 1], [1], [0, 1, 1, 1], [1], [0, 0, 0], [1, 0]]",2,0,-500.0
"[[], [0, 1, 0, 0, 1], [1], [0, 1, 1], [1], [0, 0], [1, 0]]",5,0,-125.0
"[[], [0, 1, 0], [1], [0, 1, 1], [1], [0, 0], [1, 0]]",1,0,-31.25
"[[], [0, 1], [], [0, 1, 1], [1], [0, 0], [1, 0]]",1,0,-7.8125
"[[], [0], [], [0, 1, 1], [1], [0, 0], [1]]",6,0,-1.953125
"[[], [], [], [0, 1, 1], [], [0, 0], [1]]",1,0,-0.48828125
"[[], [], [], [0, 1], [], [0], [1]]",5,0,-0.1220703125
"[[], [], [], [], [], [0], [1]]",3,0,-0.030517578125
"[[], [], [], [], [], [], []]",5,0,-0.00762939453125
"[[], [0, 1, 0, 0, 1], [1, 0], [0, 1, 1, 1], [1], [0, 0, 0], [1, 0]]",3,1,500.0
"[[], [0, 1, 0, 0, 1], [1], [0, 1, 1], [1], [0, 0, 0], [1, 0]]",3,1,125.0
"[[], [0, 1, 0, 0], [1], [0, 1, 1], [1], [0, 0], [1, 0]]",1,1,31.25
"[[], [0, 1, 0], [], [0, 1, 1], [1], [0, 0], [1, 0]]",2,1,7.8125
"[[], [0], [], [0, 1, 1], [1], [0, 0], [1, 0]]",1,1,1.953125
"[[], [0], [], [0, 1, 1], [], [0, 0], [1]]",4,1,0.48828125
"[[], [], [], [0, 1], [], [0, 0], [1]]",3,1,0.1220703125
"[[], [], [], [0], [], [0], [1]]",3,1,0.030517578125
"[[], [], [], [], [], [0], []]",6,1,0.00762939453125
"[[0, 0], [0, 0, 1, 0], [1], [1, 1, 1], [1, 1, 0, 1], [0, 0, 1], [1, 0, 0, 0, 1]]",2,0,-500.0
"[[0, 0], [0, 0, 1], [1], [1, 1, 1], [1, 1, 0], [0, 0, 1], [1, 0, 0, 0, 1]]",1,0,-125.0
"[[0], [0, 0, 1], [1], [1, 1, 1], [1, 1, 0], [0, 0], [1, 0, 0, 0, 1]]",0,0,-31.25
